option_name,speed,reasoning,blended_cost,coherence,api_utility,context_window,implementation_complexity
o3,160,84,25.00,8.0,9,128000,1
Claude 3.7 Sonnet,80,80,9.00,9.0,9,200000,1
Qwen3-235B-A22B (Reasoning),37,71,0.15,9.0,6,128000,2
Gemini 2.5 Pro,159,85,5.25,9.0,8,2000000,1
o4-mini (high),168,77,2.75,9.0,9,128000,1
o3-mini,161,81,2.75,8.5,9,200000,1
Gemini 2.5 Flash,347,75,1.8,8.0,8,1000000,1
Claude 3.5 Haiku,66,70,2.4,8.0,9,200000,1
DeepSeek R1,27,78,0.21,8.0,6,128000,1
Mistral Large 2 (Nov '24),79,68,4.00,8.0,7,128000,2
Grok-3,43,81,9.00,8.0,6,128000,1
Llama 4 Maverick 17B,125,74,0.525,7.0,6,1000000,2
GPT-4.1 mini,79,75,1.00,8.0,9,128000,1
Llama 4 Scout,123,73,0.35,7.0,6,10000000,2
Grok 3 mini,192,81,0.4,7.5,6,128000,1
Gemini 2.0 Flash,239,70,0.25,7.5,8,1000000,1
Claude 3.5 Sonnet (Oct),80,70,9.00,8.0,8,200000,1
GPT-4 Turbo,44,75,20.00,9.5,10,128000,1
GPT-4o (Nov '24),148,72,7.50,9.5,10,128000,1
Gemma 3 27B,100,60,0.10,6.5,5,128000,2